aardvark mammal hair_1 feathers_0 eggs_0 milk_1 airborne_0 aquatic_0 predator_1 toothed_1 backbone_1 breathes_1 venomous_0 fins_0 legs_4 tail_0 domestic_0 catsize_1
antelope mammal hair_1 feathers_0 eggs_0 milk_1 airborne_0 aquatic_0 predator_0 toothed_1 backbone_1 breathes_1 venomous_0 fins_0 legs_4 tail_1 domestic_0 catsize_1
bass fish hair_0 feathers_0 eggs_1 milk_0 airborne_0 aquatic_1 predator_1 toothed_1 backbone_1 breathes_0 venomous_0 fins_1 legs_0 tail_1 domestic_0 catsize_0
bear mammal hair_1 feathers_0 eggs_0 milk_1 airborne_0 aquatic_0 predator_1 toothed_1 backbone_1 breathes_1 venomous_0 fins_0 legs_4 tail_0 domestic_0 catsize_1
boar mammal hair_1 feathers_0 eggs_0 milk_1 airborne_0 aquatic_0 predator_1 toothed_1 backbone_1 breathes_1 venomous_0 fins_0 legs_4 tail_1 domestic_0 catsize_1
buffalo mammal hair_1 feathers_0 eggs_0 milk_1 airborne_0 aquatic_0 predator_0 toothed_1 backbone_1 breathes_1 venomous_0 fins_0 legs_4 tail_1 domestic_0 catsize_1
calf mammal hair_1 feathers_0 eggs_0 milk_1 airborne_0 aquatic_0 predator_0 toothed_1 backbone_1 breathes_1 venomous_0 fins_0 legs_4 tail_1 domestic_1 catsize_1
carp fish hair_0 feathers_0 eggs_1 milk_0 airborne_0 aquatic_1 predator_0 toothed_1 backbone_1 breathes_0 venomous_0 fins_1 legs_0 tail_1 domestic_1 catsize_0
catfish fish hair_0 feathers_0 eggs_1 milk_0 airborne_0 aquatic_1 predator_1 toothed_1 backbone_1 breathes_0 venomous_0 fins_1 legs_0 tail_1 domestic_0 catsize_0
cavy mammal hair_1 feathers_0 eggs_0 milk_1 airborne_0 aquatic_0 predator_0 toothed_1 backbone_1 breathes_1 venomous_0 fins_0 legs_4 tail_0 domestic_1 catsize_0
cheetah mammal hair_1 feathers_0 eggs_0 milk_1 airborne_0 aquatic_0 predator_1 toothed_1 backbone_1 breathes_1 venomous_0 fins_0 legs_4 tail_1 domestic_0 catsize_1
chicken bird hair_0 feathers_1 eggs_1 milk_0 airborne_1 aquatic_0 predator_0 toothed_0 backbone_1 breathes_1 venomous_0 fins_0 legs_2 tail_1 domestic_1 catsize_0
chub fish hair_0 feathers_0 eggs_1 milk_0 airborne_0 aquatic_1 predator_1 toothed_1 backbone_1 breathes_0 venomous_0 fins_1 legs_0 tail_1 domestic_0 catsize_0
